Date,pnl_mean,pnl_sum,pnl_std,avg_size_usd,volume_usd_sum,avg_price,avg_fee,unique_traders,unique_assets,num_trades,timestamp,value,classification,date
2023-03-28,0.0,0.0,0.0,159.0,477.0,1898.1333333333332,0.0,1,1,3,1679981400,59,Greed,2023-03-28
2023-11-14,0.1488070401913875,155.50335699999994,105.09211259633247,11057.8275215311,11555429.76,10454.871036222965,2.674230290909091,2,19,1045,1699939800,69,Greed,2023-11-14
2024-03-09,25.418772159436944,176965.491774,306.1669373872389,5660.265764148233,39406770.25,9771.897315360242,0.9785666809824762,5,72,6962,1709962200,84,Extreme Greed,2024-03-09
2024-07-03,22.229712656210616,158742.378078,633.7048150995175,3058.8481095084726,21843234.35,2663.1323376477903,1.224461208007282,8,79,7141,1719984600,50,Neutral,2024-07-03
2024-10-27,90.50427150248291,3189461.032019,1165.0525484112816,2949.6258644760364,103947765.09,5367.5032773242565,0.6112046404645157,29,122,35241,1730007000,74,Greed,2024-10-27
2025-02-19,50.047621894017375,6699925.190574,909.121795680177,5259.977836723413,704158492.98,11102.057977906632,1.0832670527433932,32,154,133871,1739943000,44,Fear,2025-02-19
